2021/01/20 23:17:45 , kyuiyu , 話題 ゼロ です  , 0.88,
2021/01/20 23:17:51 , kyuiyu , 次 の 録音 は ホスト が 送信 を します  , 0.71,
2021/01/20 23:17:52 , aa , 私 0 が 押され ました  , 0.84,
2021/01/20 23:17:58 , aa , 私 0  , 0.97,
2021/01/20 23:18:10 , kyuiyu , 御 ゼロ に ついて  , 0.96,
2021/01/20 23:18:13 , kyuiyu , 何か 質問 が ある 方 は 挙手 して 下さい  , 0.96,
2021/01/20 23:18:16 , aa , 話題 0 は  , 0.72,
2021/01/20 23:18:19 , aa , なんか  , 0.72,
2021/01/20 23:18:22 , aa , どういう タイトル ですか  , 0.68,
2021/01/20 23:18:29 , kyuiyu , 笑 面 が 抱いて る  , 0.5,
2021/01/20 23:18:33 , kyuiyu , コンビニ で 買える  , 0.96,
2021/01/20 23:18:38 , kyuiyu , おにぎり が  , 0.36,
2021/01/20 23:18:43 , kyuiyu , どこ が 一番 おいしい か に ついて です  , 0.81,
2021/01/20 23:18:45 , aa , なるほど  , 1,
2021/01/20 23:18:50 , kyuiyu , 今 の ところ  , 1,
2021/01/20 23:18:51 , aa , D_エート  , 0,
2021/01/20 23:18:54 , kyuiyu , ファミリーマート と セブン イレブン  , 1,
2021/01/20 23:18:56 , kyuiyu , デイリー ヤマザキ  , 0.86,
2021/01/20 23:18:59 , kyuiyu , ローソン が 挙げられ ます  , 0.88,
2021/01/20 23:19:03 , aa , 私 には  , 1,
2021/01/20 23:19:08 , aa , ほとんど 違い が わかりません  , 0.78,
2021/01/20 23:19:16 , kyuiyu , 私 も よく 分かり ません  , 0.86,
2021/01/20 23:19:19 , aa , 薬 が 谷 とか じゃなくて  , 0.68,
2021/01/20 23:19:24 , aa , その テンポ テンポ 感 の ある ので  , 0.78,
2021/01/20 23:19:29 , kyuiyu , D_ウーン D_ウーン は D_ア 私 の 夢 は 寝る 夢 じゃない 夢 が いいです  , 0.73,
2021/01/20 23:19:31 , aa , それ 借りて カリカリ 梅 って こと  , 0.81,
2021/01/20 23:19:31 , kyuiyu , 夢  , 0.19,
2021/01/20 23:19:36 , kyuiyu , いや 普通 脳 が 違う から  , 0.69,
2021/01/20 23:19:37 , kyuiyu , よね  , 0.45,
2021/01/20 23:19:39 , aa , で 年収 別 と 熱  , 0.69,
2021/01/20 23:19:43 , kyuiyu , ん 何か こう  , 0.94,
2021/01/20 23:19:47 , aa , D_オー  , 1,
2021/01/20 23:19:47 , kyuiyu , たたいて ある みたいな ね 朝 日中 して くる  , 0.75,
2021/01/20 23:19:51 , aa , うん 普通 すぐ お分かり 超越 して いない  , 0.46,
2021/01/20 23:19:54 , kyuiyu , Air  , 0.49,
2021/01/20 23:19:57 , aa , D_ア  , 0.55,
2021/01/20 23:19:58 , kyuiyu , 普通 もう もっと さらさら  , 0.93,
2021/01/20 23:20:02 , kyuiyu , テレビ なんか 分かんない けど  , 0.79,
2021/01/20 23:20:08 , kyuiyu , 近く に ローソン が ない ので 路線 に ついて は いる 特に よく わからない です  , 0.82,
